dataset,method,K,tau,eta,nprobe,recall50,qps,avg_full_eval,rc,wall_time_sec
SPLADE-0.1M,CABS,10,0.7,0.03,10,0.9565,1581.48,5284.07,0,27.34654474258423
SPLADE-0.1M,CABS,10,0.7,0.05,10,0.972,906.943,8378.99,0,23.108986616134644
SPLADE-0.1M,CABS,15,0.7,0.03,10,0.9456,2324.53,3969.2,0,30.12138605117798
SPLADE-0.1M,CABS,15,0.7,0.03,15,0.9493,1010.25,5656.77,0,30.12138605117798
SPLADE-0.1M,CABS,15,0.7,0.05,10,0.9652,1870.3,6188.75,0,22.783118963241577
SPLADE-0.1M,CABS,15,0.7,0.05,15,0.968,1309.38,8628.82,0,22.783118963241577
SPLADE-0.1M,CABS,20,0.7,0.03,10,0.9412,2649.32,3270.02,0,27.436942100524902
SPLADE-0.1M,CABS,20,0.7,0.03,15,0.9517,1896.54,4834.66,0,27.436942100524902
SPLADE-0.1M,CABS,20,0.7,0.03,20,0.9544,1445.77,6201.33,0,27.436942100524902
SPLADE-0.1M,CABS,20,0.7,0.05,10,0.9625,2109.66,4970.71,0,18.990150213241577
SPLADE-0.1M,CABS,20,0.7,0.05,15,0.9708,1509.45,7251.06,0,18.990150213241577
SPLADE-0.1M,CABS,20,0.7,0.05,20,0.9726,1201.48,9089.8,0,18.990150213241577
