dataset,method,K,tau,eta,nprobe,recall50,qps,avg_full_eval,rc,wall_time_sec
SPLADE-FULL (8.84M),CABS,15,0.7,0.005,1,0.7726,366.601,6009.7,0,2216.6052582263947
SPLADE-FULL (8.84M),CABS,15,0.7,0.005,2,0.9065,226.235,11569.6,0,2216.6052582263947
SPLADE-FULL (8.84M),CABS,15,0.7,0.005,3,0.9687,135.331,23372.9,0,2216.6052582263947
SPLADE-FULL (8.84M),CABS,15,0.7,0.005,5,0.9759,118.828,28778.2,0,2216.6052582263947
SPLADE-FULL (8.84M),CABS,15,0.7,0.005,8,0.9873,86.1602,43800.5,0,2216.6052582263947
SPLADE-FULL (8.84M),CABS,15,0.7,0.005,12,0.9876,65.8992,65492.1,0,2216.6052582263947
SPLADE-FULL (8.84M),CABS,15,0.7,0.01,1,0.7884,219.728,11969.1,0,1689.2774922847748
SPLADE-FULL (8.84M),CABS,15,0.7,0.01,2,0.9164,136.247,23038.6,0,1689.2774922847748
SPLADE-FULL (8.84M),CABS,15,0.7,0.01,3,0.9753,84.5898,46544.5,0,1689.2774922847748
SPLADE-FULL (8.84M),CABS,15,0.7,0.01,5,0.982,73.1385,57304.9,0,1689.2774922847748
SPLADE-FULL (8.84M),CABS,15,0.7,0.01,8,0.9927,55.8486,87198.6,0,1689.2774922847748
SPLADE-FULL (8.84M),CABS,15,0.7,0.01,12,0.993,43.9324,130331.0,0,1689.2774922847748
SPLADE-FULL (8.84M),CABS,15,0.7,0.02,1,0.7972,157.469,23887.5,0,1715.4066886901855
SPLADE-FULL (8.84M),CABS,15,0.7,0.02,2,0.9236,94.2525,45975.9,0,1715.4066886901855
SPLADE-FULL (8.84M),CABS,15,0.7,0.02,3,0.9799,49.4197,92886.7,0,1715.4066886901855
SPLADE-FULL (8.84M),CABS,15,0.7,0.02,5,0.9864,40.6358,114357.0,0,1715.4066886901855
SPLADE-FULL (8.84M),CABS,15,0.7,0.02,8,0.9964,29.9662,173993.0,0,1715.4066886901855
SPLADE-FULL (8.84M),CABS,15,0.7,0.02,12,0.9966,20.0864,260005.0,0,1715.4066886901855
SPLADE-FULL (8.84M),CABS,15,0.7,0.03,1,0.8,236.445,35806.1,0,1410.7032775878906
SPLADE-FULL (8.84M),CABS,15,0.7,0.03,2,0.9256,130.646,68913.1,0,1410.7032775878906
SPLADE-FULL (8.84M),CABS,15,0.7,0.03,3,0.9813,69.195,139229.0,0,1410.7032775878906
SPLADE-FULL (8.84M),CABS,15,0.7,0.03,5,0.9876,56.6882,171409.0,0,1410.7032775878906
SPLADE-FULL (8.84M),CABS,15,0.7,0.03,8,0.9976,39.2627,260787.0,0,1410.7032775878906
SPLADE-FULL (8.84M),CABS,15,0.7,0.03,12,0.9978,27.5176,389666.0,0,1410.7032775878906
SPLADE-FULL (8.84M),CABS,15,0.8,0.005,1,0.7291,248.987,5014.33,0,1968.6661927700043
SPLADE-FULL (8.84M),CABS,15,0.8,0.005,2,0.8691,161.15,9562.34,0,1968.6661927700043
SPLADE-FULL (8.84M),CABS,15,0.8,0.005,3,0.9474,109.651,19175.4,0,1968.6661927700043
SPLADE-FULL (8.84M),CABS,15,0.8,0.005,5,0.9611,100.152,23656.6,0,1968.6661927700043
SPLADE-FULL (8.84M),CABS,15,0.8,0.005,8,0.9813,71.6088,36200.2,0,1968.6661927700043
SPLADE-FULL (8.84M),CABS,15,0.8,0.005,12,0.9842,57.0639,54440.9,0,1968.6661927700043
SPLADE-FULL (8.84M),CABS,15,0.8,0.01,1,0.7441,185.765,9978.21,0,1414.4409036636353
SPLADE-FULL (8.84M),CABS,15,0.8,0.01,2,0.881,129.287,19023.9,0,1414.4409036636353
SPLADE-FULL (8.84M),CABS,15,0.8,0.01,3,0.9572,79.8736,38148.9,0,1414.4409036636353
SPLADE-FULL (8.84M),CABS,15,0.8,0.01,5,0.9696,69.7362,47060.9,0,1414.4409036636353
SPLADE-FULL (8.84M),CABS,15,0.8,0.01,8,0.9887,52.5859,71996.6,0,1414.4409036636353
SPLADE-FULL (8.84M),CABS,15,0.8,0.01,12,0.9905,35.6195,108225.0,0,1414.4409036636353
SPLADE-FULL (8.84M),CABS,15,0.8,0.02,1,0.7548,215.735,19906.1,0,1440.5231986045837
SPLADE-FULL (8.84M),CABS,15,0.8,0.02,2,0.89,127.928,37946.8,0,1440.5231986045837
SPLADE-FULL (8.84M),CABS,15,0.8,0.02,3,0.964,71.3746,76096.1,0,1440.5231986045837
SPLADE-FULL (8.84M),CABS,15,0.8,0.02,5,0.9755,58.8075,93869.5,0,1440.5231986045837
SPLADE-FULL (8.84M),CABS,15,0.8,0.02,8,0.9938,40.8666,143590.0,0,1440.5231986045837
SPLADE-FULL (8.84M),CABS,15,0.8,0.02,12,0.9953,29.8624,215795.0,0,1440.5231986045837
SPLADE-FULL (8.84M),CABS,15,0.8,0.03,1,0.7577,125.836,29833.9,0,1410.4126300811768
SPLADE-FULL (8.84M),CABS,15,0.8,0.03,2,0.893,73.8823,56869.7,0,1410.4126300811768
SPLADE-FULL (8.84M),CABS,15,0.8,0.03,3,0.9663,42.1373,114043.0,0,1410.4126300811768
SPLADE-FULL (8.84M),CABS,15,0.8,0.03,5,0.9777,37.573,140678.0,0,1410.4126300811768
SPLADE-FULL (8.84M),CABS,15,0.8,0.03,8,0.9957,24.6651,215183.0,0,1410.4126300811768
SPLADE-FULL (8.84M),CABS,15,0.8,0.03,12,0.9971,18.6586,323337.0,0,1410.4126300811768
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,1,0.7571,376.695,4892.9,0,2308.5572049617767
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,2,0.8984,201.827,9954.29,0,2308.5572049617767
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,3,0.9435,147.388,14830.9,0,2308.5572049617767
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,5,0.9706,104.006,24025.1,0,2308.5572049617767
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,8,0.9792,70.6473,36595.2,0,2308.5572049617767
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,12,0.9835,53.4766,52162.4,0,2308.5572049617767
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,1,0.7735,320.947,9735.55,0,1796.3696105480194
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,2,0.9109,169.316,19808.1,0,1796.3696105480194
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,3,0.953,125.662,29511.0,0,1796.3696105480194
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,5,0.9788,88.4839,47798.8,0,1796.3696105480194
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,8,0.9866,63.6966,72788.3,0,1796.3696105480194
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,12,0.9905,48.2141,103722.0,0,1796.3696105480194
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,1,0.784,277.851,19420.7,0,1773.4334983825684
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,2,0.9192,157.904,39515.2,0,1773.4334983825684
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,3,0.9597,112.935,58870.5,0,1773.4334983825684
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,5,0.985,74.3326,95345.3,0,1773.4334983825684
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,8,0.9919,51.0839,145173.0,0,1773.4334983825684
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,12,0.9954,23.3238,206838.0,0,1773.4334983825684
SPLADE-FULL (8.84M),CABS,20,0.7,0.03,1,0.7866,285.153,29105.7,0,1720.3200635910034
SPLADE-FULL (8.84M),CABS,20,0.7,0.03,2,0.9218,145.711,59222.1,0,1720.3200635910034
SPLADE-FULL (8.84M),CABS,20,0.7,0.03,3,0.9615,101.642,88229.9,0,1720.3200635910034
SPLADE-FULL (8.84M),CABS,20,0.7,0.03,5,0.9867,65.3849,142892.0,0,1720.3200635910034
SPLADE-FULL (8.84M),CABS,20,0.7,0.03,8,0.9932,44.314,217558.0,0,1720.3200635910034
SPLADE-FULL (8.84M),CABS,20,0.7,0.03,12,0.9967,32.7737,309954.0,0,1720.3200635910034
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,1,0.7061,354.954,3986.98,0,2261.8782756328583
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,2,0.8506,205.136,8050.9,0,2261.8782756328583
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,3,0.9078,162.607,11977.2,0,2261.8782756328583
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,5,0.952,115.016,19390.0,0,2261.8782756328583
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,8,0.9697,84.7088,29622.6,0,2261.8782756328583
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,12,0.9787,74.1303,42339.0,0,2261.8782756328583
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,1,0.723,546.639,7923.55,0,1448.9837067127228
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,2,0.8641,312.964,16000.8,0,1448.9837067127228
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,3,0.9198,220.68,23802.8,0,1448.9837067127228
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,5,0.963,154.119,38527.5,0,1448.9837067127228
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,8,0.9791,106.736,58841.4,0,1448.9837067127228
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,12,0.9868,48.4163,84072.6,0,1448.9837067127228
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,1,0.7349,406.09,15796.7,0,1439.9725844860077
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,2,0.8747,215.867,31900.7,0,1439.9725844860077
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,3,0.9287,155.223,47454.1,0,1439.9725844860077
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,5,0.9712,103.1,76802.4,0,1439.9725844860077
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,8,0.9863,69.7551,117278.0,0,1439.9725844860077
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,12,0.9935,52.6388,167538.0,0,1439.9725844860077
SPLADE-FULL (8.84M),CABS,20,0.8,0.03,1,0.7374,303.627,23669.7,0,1459.9991881847382
SPLADE-FULL (8.84M),CABS,20,0.8,0.03,2,0.8775,104.4,47800.3,0,1459.9991881847382
SPLADE-FULL (8.84M),CABS,20,0.8,0.03,3,0.9309,66.5788,71105.2,0,1459.9991881847382
SPLADE-FULL (8.84M),CABS,20,0.8,0.03,5,0.9733,44.8435,115077.0,0,1459.9991881847382
SPLADE-FULL (8.84M),CABS,20,0.8,0.03,8,0.9881,30.0392,175715.0,0,1459.9991881847382
SPLADE-FULL (8.84M),CABS,20,0.8,0.03,12,0.9953,22.0508,251005.0,0,1459.9991881847382
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,1,0.7261,905.022,3061.27,0,2969.270676612854
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,2,0.8751,544.842,5982.06,0,2969.270676612854
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,3,0.9184,421.978,8909.71,0,2969.270676612854
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,5,0.9625,292.372,14526.7,0,2969.270676612854
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,8,0.9746,200.27,22815.8,0,2969.270676612854
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,12,0.9829,150.571,34009.7,0,2969.270676612854
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,1,0.7456,551.79,6071.91,0,1847.7190945148468
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,2,0.8894,314.946,11862.9,0,1847.7190945148468
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,3,0.9312,238.675,17667.6,0,1847.7190945148468
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,5,0.9728,162.476,28800.7,0,1847.7190945148468
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,8,0.9838,101.165,45227.4,0,1847.7190945148468
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,12,0.991,76.3386,67412.9,0,1847.7190945148468
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,1,0.7597,286.098,12093.3,0,1889.1152040958405
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,2,0.8984,173.119,23624.8,0,1889.1152040958405
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,3,0.9391,123.537,35183.9,0,1889.1152040958405
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,5,0.9784,80.0342,57349.0,0,1889.1152040958405
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,8,0.9888,60.6068,90050.7,0,1889.1152040958405
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,12,0.9951,47.6092,134219.0,0,1889.1152040958405
SPLADE-FULL (8.84M),CABS,32,0.7,0.03,1,0.7656,472.093,18114.8,0,1520.093090057373
SPLADE-FULL (8.84M),CABS,32,0.7,0.03,2,0.902,259.87,35387.0,0,1520.093090057373
