dataset,method,target_recall,best_config_id,recall50,qps,avg_full_eval,compact_cell
SPLADE-0.1M,CABS,0.9,eta0.03_nprobe8,0.9017,1577.29,2736.92,1577 (2.7k)
SPLADE-0.1M,CABS,0.91,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.92,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.93,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.94,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.95,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.96,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.97,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.98,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.99,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,SOSIA,0.9,T2000,0.9004,477.884,2050.0,478 (2.0k)
SPLADE-0.1M,SOSIA,0.91,T5000,0.963,328.985,5050.0,329 (5.0k)
SPLADE-0.1M,SOSIA,0.92,T5000,0.963,328.985,5050.0,329 (5.0k)
SPLADE-0.1M,SOSIA,0.93,T5000,0.963,328.985,5050.0,329 (5.0k)
SPLADE-0.1M,SOSIA,0.94,T5000,0.963,328.985,5050.0,329 (5.0k)
SPLADE-0.1M,SOSIA,0.95,T5000,0.963,328.985,5050.0,329 (5.0k)
SPLADE-0.1M,SOSIA,0.96,T5000,0.963,328.985,5050.0,329 (5.0k)
SPLADE-0.1M,SOSIA,0.97,T10000,0.9846,190.714,9955.79,191 (10.0k)
SPLADE-0.1M,SOSIA,0.98,T10000,0.9846,190.714,9955.79,191 (10.0k)
SPLADE-0.1M,SOSIA,0.99,T20000,0.9926,154.419,14093.2,154 (14.1k)
SPLADE-1M,CABS,0.9,eta0.01_nprobe5,0.9227,1234.32,5269.69,1234 (5.3k)
SPLADE-1M,CABS,0.91,eta0.01_nprobe5,0.9227,1234.32,5269.69,1234 (5.3k)
SPLADE-1M,CABS,0.92,eta0.01_nprobe5,0.9227,1234.32,5269.69,1234 (5.3k)
SPLADE-1M,CABS,0.93,eta0.01_nprobe8,0.9498,913.972,8158.0,914 (8.2k)
SPLADE-1M,CABS,0.94,eta0.01_nprobe8,0.9498,913.972,8158.0,914 (8.2k)
SPLADE-1M,CABS,0.95,eta0.02_nprobe5,0.951,486.669,10286.1,487 (10.3k)
SPLADE-1M,CABS,0.96,eta0.02_nprobe8,0.9731,411.568,15910.5,412 (15.9k)
SPLADE-1M,CABS,0.97,eta0.02_nprobe8,0.9731,411.568,15910.5,412 (15.9k)
SPLADE-1M,CABS,0.98,N/A,N/A,N/A,N/A,N/A
SPLADE-1M,CABS,0.99,N/A,N/A,N/A,N/A,N/A
SPLADE-1M,SOSIA,0.9,T10000,0.9386,68.3881,10050.0,68 (10.1k)
SPLADE-1M,SOSIA,0.91,T10000,0.9386,68.3881,10050.0,68 (10.1k)
SPLADE-1M,SOSIA,0.92,T10000,0.9386,68.3881,10050.0,68 (10.1k)
SPLADE-1M,SOSIA,0.93,T10000,0.9386,68.3881,10050.0,68 (10.1k)
SPLADE-1M,SOSIA,0.94,T20000,0.9746,44.2957,20050.0,44 (20.1k)
SPLADE-1M,SOSIA,0.95,T20000,0.9746,44.2957,20050.0,44 (20.1k)
SPLADE-1M,SOSIA,0.96,T20000,0.9746,44.2957,20050.0,44 (20.1k)
SPLADE-1M,SOSIA,0.97,T20000,0.9746,44.2957,20050.0,44 (20.1k)
SPLADE-1M,SOSIA,0.98,T50000,0.992,23.8362,50050.0,24 (50.0k)
SPLADE-1M,SOSIA,0.99,T50000,0.992,23.8362,50050.0,24 (50.0k)
SPLADE-10M,CABS,0.9,eta0.03_nprobe3,0.9663,88.2,114043.0,88 (114.0k)
SPLADE-10M,CABS,0.91,eta0.03_nprobe3,0.9663,88.2,114043.0,88 (114.0k)
SPLADE-10M,CABS,0.92,eta0.03_nprobe3,0.9663,88.2,114043.0,88 (114.0k)
SPLADE-10M,CABS,0.93,eta0.03_nprobe3,0.9663,88.2,114043.0,88 (114.0k)
SPLADE-10M,CABS,0.94,eta0.03_nprobe3,0.9663,88.2,114043.0,88 (114.0k)
SPLADE-10M,CABS,0.95,eta0.03_nprobe3,0.9663,88.2,114043.0,88 (114.0k)
SPLADE-10M,CABS,0.96,eta0.03_nprobe3,0.9663,88.2,114043.0,88 (114.0k)
SPLADE-10M,CABS,0.97,eta0.03_nprobe5,0.9777,73.1555,140678.0,73 (140.7k)
SPLADE-10M,CABS,0.98,eta0.03_nprobe8,0.9957,49.6612,215183.0,50 (215.2k)
SPLADE-10M,CABS,0.99,eta0.03_nprobe8,0.9957,49.6612,215183.0,50 (215.2k)
SPLADE-10M,SOSIA,0.9,T20000,0.9196,10.6763,20050.0,11 (20.1k)
SPLADE-10M,SOSIA,0.91,T20000,0.9196,10.6763,20050.0,11 (20.1k)
