dataset,method,target_recall,best_config_id,recall50,qps,avg_full_eval,compact_cell
SPLADE-FULL (8.84M),CABS,0.90,K20_tau0.8_eta0.012_nprobe3,0.9222,220.8410,28533.20,221 (28.5k)
SPLADE-FULL (8.84M),CABS,0.91,K20_tau0.8_eta0.012_nprobe3,0.9222,220.8410,28533.20,221 (28.5k)
SPLADE-FULL (8.84M),CABS,0.92,K20_tau0.8_eta0.012_nprobe3,0.9222,220.8410,28533.20,221 (28.5k)
SPLADE-FULL (8.84M),CABS,0.93,K20_tau0.8_eta0.012_nprobe4,0.9536,172.9020,37520.50,173 (37.5k)
SPLADE-FULL (8.84M),CABS,0.94,K20_tau0.8_eta0.012_nprobe4,0.9536,172.9020,37520.50,173 (37.5k)
SPLADE-FULL (8.84M),CABS,0.95,K20_tau0.8_eta0.012_nprobe4,0.9536,172.9020,37520.50,173 (37.5k)
SPLADE-FULL (8.84M),CABS,0.96,K20_tau0.8_eta0.012_nprobe5,0.9651,143.7890,46182.60,144 (46.2k)
SPLADE-FULL (8.84M),CABS,0.97,K20_tau0.8_eta0.012_nprobe6,0.9720,125.7130,54471.00,126 (54.5k)
SPLADE-FULL (8.84M),CABS,0.98,K20_tau0.75_eta0.015_nprobe6,0.9803,93.1597,75478.30,93 (75.5k)
SPLADE-FULL (8.84M),CABS,0.99,N/A,N/A,N/A,N/A,N/A
