dataset,method,K,tau,eta,nprobe,recall50,qps,avg_full_eval,rc,wall_time_sec
SPLADE-FULL (8.84M),CABS,20,0.75,0.012,2,0.8897,194.205,21274.6,0,1848.8
SPLADE-FULL (8.84M),CABS,20,0.75,0.012,3,0.9407,140.159,31670.3,0,1848.8
SPLADE-FULL (8.84M),CABS,20,0.75,0.012,4,0.9666,113.503,41656.3,0,1848.8
SPLADE-FULL (8.84M),CABS,20,0.75,0.012,5,0.9742,95.2774,51273.5,0,1848.8
SPLADE-FULL (8.84M),CABS,20,0.75,0.012,6,0.9778,83.3655,60443.8,0,1848.8
SPLADE-FULL (8.84M),CABS,20,0.75,0.015,2,0.8929,226.456,26567.8,0,1146.13
SPLADE-FULL (8.84M),CABS,20,0.75,0.015,3,0.9432,160.41,39549.7,0,1146.13
SPLADE-FULL (8.84M),CABS,20,0.75,0.015,4,0.969,129.646,52019.5,0,1146.13
SPLADE-FULL (8.84M),CABS,20,0.75,0.015,5,0.9766,108.421,64028.2,0,1146.13
SPLADE-FULL (8.84M),CABS,20,0.75,0.015,6,0.9803,93.1597,75478.3,0,1146.13
SPLADE-FULL (8.84M),CABS,20,0.75,0.018,2,0.8957,165.973,31861.4,0,1143.81
SPLADE-FULL (8.84M),CABS,20,0.75,0.018,3,0.9457,120.809,47429.6,0,1143.81
SPLADE-FULL (8.84M),CABS,20,0.75,0.018,4,0.9714,95.1162,62383.3,0,1143.81
SPLADE-FULL (8.84M),CABS,20,0.75,0.018,5,0.9789,79.187,76783.7,0,1143.81
SPLADE-FULL (8.84M),CABS,20,0.75,0.018,6,0.9826,69.609,90513.7,0,1143.81
SPLADE-FULL (8.84M),CABS,20,0.75,0.02,2,0.8965,197.851,35390.5,0,1150.65
SPLADE-FULL (8.84M),CABS,20,0.75,0.02,3,0.9463,139.288,52683.1,0,1150.65
SPLADE-FULL (8.84M),CABS,20,0.75,0.02,4,0.972,109.481,69292.9,0,1150.65
SPLADE-FULL (8.84M),CABS,20,0.75,0.02,5,0.9794,90.4786,85287.9,0,1150.65
SPLADE-FULL (8.84M),CABS,20,0.75,0.02,6,0.9831,77.5941,100538.0,0,1150.65
SPLADE-FULL (8.84M),CABS,20,0.8,0.012,2,0.867,302.466,19180.9,0,1725.4
SPLADE-FULL (8.84M),CABS,20,0.8,0.012,3,0.9222,220.841,28533.2,0,1725.4
SPLADE-FULL (8.84M),CABS,20,0.8,0.012,4,0.9536,172.902,37520.5,0,1725.4
SPLADE-FULL (8.84M),CABS,20,0.8,0.012,5,0.9651,143.789,46182.6,0,1725.4
SPLADE-FULL (8.84M),CABS,20,0.8,0.012,6,0.972,125.713,54471.0,0,1725.4
SPLADE-FULL (8.84M),CABS,20,0.8,0.015,2,0.8706,274.67,23950.5,0,1030.2
SPLADE-FULL (8.84M),CABS,20,0.8,0.015,3,0.9251,185.224,35628.2,0,1030.2
SPLADE-FULL (8.84M),CABS,20,0.8,0.015,4,0.9565,143.533,46849.7,0,1030.2
SPLADE-FULL (8.84M),CABS,20,0.8,0.015,5,0.968,119.833,57664.6,0,1030.2
SPLADE-FULL (8.84M),CABS,20,0.8,0.015,6,0.9748,103.79,68012.4,0,1030.2
SPLADE-FULL (8.84M),CABS,20,0.8,0.018,2,0.8732,270.456,28720.7,0,1020.89
SPLADE-FULL (8.84M),CABS,20,0.8,0.018,3,0.9274,188.335,42723.9,0,1020.89
SPLADE-FULL (8.84M),CABS,20,0.8,0.018,4,0.9586,149.115,56179.6,0,1020.89
SPLADE-FULL (8.84M),CABS,20,0.8,0.018,5,0.97,124.937,69147.4,0,1020.89
SPLADE-FULL (8.84M),CABS,20,0.8,0.018,6,0.9768,106.87,81554.6,0,1020.89
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,2,0.8747,261.213,31900.7,0,1029.59
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,3,0.9287,184.24,47454.1,0,1029.59
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,4,0.9599,143.667,62399.3,0,1029.59
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,5,0.9712,119.469,76802.4,0,1029.59
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,6,0.978,103.913,90582.6,0,1029.59
