dataset,method,control_param_name,control_param_value,recall,qps,avg_verified_candidates
SPLADE-FULL (8.84M),CABS,nprobe,1,0.7349,196.83,15796.7
SPLADE-FULL (8.84M),CABS,nprobe,2,0.8747,99.5921,31900.7
SPLADE-FULL (8.84M),CABS,nprobe,3,0.9287,68.792,47454.1
SPLADE-FULL (8.84M),CABS,nprobe,4,0.9599,53.2089,62399.3
SPLADE-FULL (8.84M),CABS,nprobe,5,0.9712,43.9128,76802.4
SPLADE-FULL (8.84M),CABS,nprobe,6,0.978,37.4979,90582.6
SPLADE-FULL (8.84M),CABS,nprobe,7,0.9836,33.1851,103781
SPLADE-FULL (8.84M),CABS,nprobe,8,0.9863,29.6481,117278
SPLADE-FULL (8.84M),CABS,nprobe,10,0.9929,24.8479,142701
SPLADE-FULL (8.84M),CABS,nprobe,12,0.9935,21.3493,167538
SPLADE-FULL (8.84M),CABS,nprobe,15,0.9935,18.1865,201175
SPLADE-FULL (8.84M),CABS,nprobe,18,0.9935,15.813,232832
SPLADE-FULL (8.84M),CABS,nprobe,20,0.9938,15.0306,250574
