dataset,method,target_recall,best_config_id,recall50,qps,avg_full_eval,compact_cell
SPLADE-FULL (8.84M),CABS,0.90,K32_tau0.7_eta0.005_nprobe3,0.9184,421.9780,8909.71,422 (8.9k)
SPLADE-FULL (8.84M),CABS,0.91,K32_tau0.7_eta0.005_nprobe3,0.9184,421.9780,8909.71,422 (8.9k)
SPLADE-FULL (8.84M),CABS,0.92,K32_tau0.7_eta0.005_nprobe5,0.9625,292.3720,14526.70,292 (14.5k)
SPLADE-FULL (8.84M),CABS,0.93,K32_tau0.7_eta0.005_nprobe5,0.9625,292.3720,14526.70,292 (14.5k)
SPLADE-FULL (8.84M),CABS,0.94,K32_tau0.7_eta0.005_nprobe5,0.9625,292.3720,14526.70,292 (14.5k)
SPLADE-FULL (8.84M),CABS,0.95,K32_tau0.7_eta0.005_nprobe5,0.9625,292.3720,14526.70,292 (14.5k)
SPLADE-FULL (8.84M),CABS,0.96,K32_tau0.7_eta0.005_nprobe5,0.9625,292.3720,14526.70,292 (14.5k)
SPLADE-FULL (8.84M),CABS,0.97,K32_tau0.7_eta0.005_nprobe8,0.9746,200.2700,22815.80,200 (22.8k)
SPLADE-FULL (8.84M),CABS,0.98,K32_tau0.7_eta0.005_nprobe12,0.9829,150.5710,34009.70,151 (34.0k)
SPLADE-FULL (8.84M),CABS,0.99,K32_tau0.7_eta0.01_nprobe12,0.9910,76.3386,67412.90,76 (67.4k)
